Source	CreatedDateTimeUtc	Category	Score	Score contextRequired	Score text	ID	SourceUri	User	Content
discrete	time	discrete	continuous	discrete	continuous	continuous	string	string	string
							meta	meta	include=True
rtvslo	2014-12-09 16:55:00	Šport	3.0	false	0.0	8994.0	http://www.rtvslo.si/sport/zimski-sporti/po-slovesu-tine-maze-smucanje-obsojeno-na-obroben-status/353073	bobbek	Ze vceraj sem napisal ob SG komentar,pa ga ponovim,da orf je izjavil ob voznji Ilke,da je talent,ampak,da ima SZS za place trenerjev denar samo so februarja,oz.do WM,nato pa se obeta konkurs,za Tino je omenil,da je pravilno naredila,pa ce kdo kaj ve,od kod njim info,tu pa nic okoli tega
rtvslo	2015-10-07 10:29:00	Politika	3.0	false	-1.0	8484.0	http://www.rtvslo.si/slovenija/stranka-zares-se-je-samorazpustila/375734	A6	udbovske kreacije za pobiranje procentov naivnežev
reporter	2015-08-31 13:39:32	Drugo	3.0	false	-1.0	11141.0	http://www.reporter.si/slovenija/janez-jan%C5%A1a-zgolj-solidarnost-problema-ne-bo-re%C5%A1ila/54898	ZVON	Razlika med cerarjem in Janšo je v tem, da cerar govori to kar nikoli ne bo udejanjil ! Janša pa govori to kar ne more udejanjit !
rtvslo	2015-07-06 06:41:00	Politika	3.0	false	1.0	11029.0	http://www.rtvslo.si/evropska-unija/cipras-na-nova-pogajanja-v-imenu-vseh-grkov/369093	Norland	Naj si grki najprej gospodarsko opomorejo in sele potem odplacujejo dolg.
24ur	2015-08-30 15:08:00	Drugo	3.0	true	0.0	11245.0	http://www.24ur.com/novice/svet/prvo-neformalno-srecanje-pahorja-in-hrvaske-predsednice-po-izbruhu-arbitrazne-afere.html?bl=0	srebrnibreg	Kita ni s sabo pripeljala Thompsona, da naši eni kateri ga obožujejo nebi hodili k njim na koncert?
rtvslo	2011-05-21 19:33:00	Šport	3.0	false	1.0	8198.0	http://www.rtvslo.si/sport/nogomet/prva-liga/beric-po-preobratu-v-ajdovscini-zadel-za-deveti-naslov-maribora/258056	The Stig	No velika usta z mastnimi lasmi, ki je do sedaj navijal za olimpijo, si lahko oddahne.   Kadeti iz Ajdovscine niso zdrzali proti vele ultra naj in oh in sploh klubu. Castno padli, kot poljska konjenica proti panzer tankom v ww2... Slava jim  In huronsko navdusenje Ervina Curlica... Dajmo maribooor, ervin koncno lahko pospravi kislo faco
finance	2015-10-12 10:59:00	Gospodarstvo	3.0	false	1.0	10470.0	http://www.finance.si/8836852/Finance-delamo-Kaj-Pipistrel-dela-za-Indijce	bigl	Pipistrel bo moral ta posel tudi narediti. To bo nekaj novega zanj. Redna proizvodnja z vsem kar spada zraven in okoli. Želim mu, čimveč plusa. Lep dan.
rtvslo	2014-02-17 15:03:00	Šport	3.0	false	1.0	12271.0	http://www.rtvslo.si/sport/oi-2014/12-dan-socija-dvojna-norveska-zmaga-jelenko-16/330097	juventina10	medalje iz vancouvra so ene najlepših kadarkoli,nobena ni ista,vsaka ima svoj vzorec.
