topic	url
string	string
meta	meta
whatsapp	http://www.thehindu.com/news/international/us-whatsapp-encryption-shouldnt-give-safe-havens-for-cyber-crime/article8445011.ece
tata	http://www.business-standard.com/article/companies/it-s-unfair-to-target-only-diesel-tata-motors-guenter-butschek-116040700167_1.html
azure	http://www.albanydailystar.com/technology/microsoft-ceo-satya-nadella-has-been-focused-on-selling-microsofts-azure-cloud-services-corpus-christi-tech-day-7766.html
ipl	http://www.dnaindia.com/india/report-bombay-high-court-suggests-shifting-ipl-out-of-maharashtra-2199110
executions	http://www.firstpost.com/world/highest-recorded-number-of-executions-since-1989-iran-pakistan-top-list-amnesty-2715694.html
oil	http://time.com/4283504/north-korea-sanction-oil/
elections	http://zeenews.india.com/news/world/iceland-government-appoints-new-pm-to-call-early-elections_1873435.html
nuclear	http://www.ibtimes.com/japans-constitution-allows-nuclear-weapons-says-shinzo-abes-government-after-donald-2347884
amazon	https://www.yahoo.com/tech/amazon-announce-eighth-generation-kindle-192859476.html
diabetes	http://www.albanydailystar.com/health/8-week-crash-diet-can-reverse-type-2-diabetes-mellitus-jacksonville-tech-time-17799.html
economics	http://www.financialexpress.com/article/economy/cabinet-gives-a-boost-to-infrastructure/233479/
orange	http://blog.biolab.si/2016/04/01/version-3-3-1-updates-and-features/
orange	https://en.wikipedia.org/wiki/Orange_(software)
startup	http://yourstory.com/2016/04/slonkit/
data	http://fortune.com/palantir-big-data-analysis/
palantir	http://fortune.com/2016/03/14/how-palantir-uses-big-data-to-find-missing-kids/
